	FSC-A	FSC-W	FSC-H	SSC-A	SSC-W	SSC-H	CD34-PE	Lin-PE-Cy5	CD123-PE-Cy7	CD90-BV421	Zombie	CD45RA-FITC	IL1RAP-APC	CD38-APC-cy7	Time	Well	Plate	Plate_Well	CD34_pos	CD38_pos	CD38_neg	IL1RAP_pos	CD45RA_pos	CD45RA_neg	CD123_pos	CD123_neg	CD90_pos	CD90_neg	lsc	hsc	mpp	lmpp	cmp	gmp	mep	unassigned	celltype
77	162302.39	114747.664	92696.0	45349.62	96954.164	30654.0	760.82	616.94	353.16	695.0	2456.0	451.53	596.8	5176.8003	19947.8	D20	not_seq	not_seq_D20	True	True	False	False	False	True	False	True	True	False	False	False	False	False	False	False	True	False	MEP
78	129647.695	99124.914	85716.0	38805.48	84093.516	30242.0	462.16	967.92004	672.53	467.0	2436.0	6768.6	727.2	2480.0	20177.7	D19	not_seq	not_seq_D19	True	False	True	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	LMPP
79	132210.0	95875.03	90373.0	55240.65	80537.73	44951.0	573.34	389.13	731.39	420.0	2872.0	9543.9	1421.6	3496.0	20366.5	D18	not_seq	not_seq_D18	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
80	154066.5	101996.125	98993.0	50068.5	85532.66	38363.0	849.11005	403.30002	524.29004	738.0	2547.0	1673.01	804.0	1624.0	20620.4	D17	not_seq	not_seq_D17	True	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	True	unassigned
81	153741.6	102775.625	98035.0	74251.89	90181.1	53960.0	331.36002	1291.65	793.52	350.0	3187.0	6577.2	2257.6	8054.4	20844.1	D16	not_seq	not_seq_D16	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
82	136230.3	96039.13	92962.0	44492.67	83134.85	35074.0	346.62003	321.55002	1315.63	299.0	1290.0	46.98	868.8	4828.8003	21110.4	D15	not_seq	not_seq_D15	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
83	117685.8	94751.25	81399.0	35013.15	82303.51	27880.0	522.11005	562.44	813.14	431.0	2565.0	4172.52	1482.4	3811.2	21304.3	D14	not_seq	not_seq_D14	True	True	False	True	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
84	118820.695	101416.12	76783.0	34765.2	84786.11	26872.0	464.34003	201.65001	477.42	673.0	400.0	1261.5	704.8	3044.8	21491.9	D13	not_seq	not_seq_D13	True	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	CMP
85	100045.8	89409.836	73332.0	29754.0	77992.086	25002.0	1119.43	568.98004	276.86002	871.0	2017.0	285.36002	52.8	782.4	21690.7	D12	not_seq	not_seq_D12	True	False	True	False	False	True	False	True	True	False	False	True	False	False	False	False	False	False	HSC
86	110768.4	96806.4	74988.0	31939.44	89628.46	23354.0	366.24002	573.34	421.83002	730.0	2883.0	7234.05	1225.6	3433.6	21904.8	D11	not_seq	not_seq_D11	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
87	134054.1	98951.06	88785.0	41081.4	87486.53	30774.0	592.96	1353.78	682.34	532.0	2996.0	5608.89	1844.0	3108.8	22119.8	D10	not_seq	not_seq_D10	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	GMP
88	147351.6	114447.3	84378.0	44773.68	98565.266	29770.0	922.14	317.19	768.45	397.0	2077.0	379.32	699.2	4329.6	22315.1	D9	not_seq	not_seq_D9	True	True	False	False	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
89	110428.195	89353.67	80993.0	37973.76	77840.81	31971.0	671.44	939.58	452.35	584.0	2417.0	629.88	849.60004	1996.8	22546.9	D8	not_seq	not_seq_D8	True	False	True	False	False	True	True	False	True	False	False	True	False	False	False	False	False	False	HSC
90	106230.59	92690.99	75109.0	32250.03	78975.336	26762.0	705.23004	502.49002	693.24005	168.0	1223.0	132.24	2024.8	7833.6	22741.3	D7	not_seq	not_seq_D7	True	True	False	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	CMP
91	144154.8	108479.016	87089.0	69743.55	88234.31	51802.0	523.2	263.78	394.58002	725.0	2987.0	5994.3	609.60004	1951.2001	22974.9	D6	not_seq	not_seq_D6	True	False	True	False	True	False	False	True	True	False	False	False	False	False	False	False	False	True	unassigned
92	119260.8	93137.055	83918.0	46022.13	78650.94	38348.0	397.85	565.71	1941.29	415.0	3057.0	4755.42	814.4	7596.0	23219.6	D5	not_seq	not_seq_D5	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	True	False	False	GMP
93	166086.89	106774.22	101941.0	64952.46	89316.27	47659.0	10222.0205	1176.11	821.86005	355.0	5187.0	6333.6	871.2	2660.0	23504.4	E5	not_seq	not_seq_E5	True	False	True	False	True	False	True	False	False	True	False	False	False	True	False	False	False	False	LMPP
